no,nama,komentar,rating,link
242,"JAS HUJAN, RAINCOAT Terbaik Pria Wanita BY HCS Anti Rembes Mocca","Kalau kasih deskripsi yg benar bozz..pantas aja saya coba kekecilan di beberapa bagian,tidak sesuai deskripsi..",1,https://shopee.co.id/JAS-HUJAN-RAINCOAT-Terbaik-Pria-Wanita-BY-HCS-Anti-Rembes-Mocca-i.197754976.8405108407?sp_atk=d02d417e-5a68-4f6e-88ca-e136d3124438&xptdk=d02d417e-5a68-4f6e-88ca-e136d3124458
243,"JAS HUJAN, RAINCOAT Terbaik Pria Wanita BY HCS Anti Rembes Mocca","Singkat cerita ya, saya order tgl 6 trs pesanan saya baru d kirim tgl 10 dan setelah sampai brg yg sya terima salah tdk sesuai pesanan stlh saya hubungi penjual tpi tdk ad niat baik buat tanggung jwb cht saya d respon sngat lma smpai 2 hari dgn alasan yg tdk msk akal",1,https://shopee.co.id/JAS-HUJAN-RAINCOAT-Terbaik-Pria-Wanita-BY-HCS-Anti-Rembes-Mocca-i.197754976.8405108407?sp_atk=d02d417e-5a68-4f6e-88ca-e136d3124438&xptdk=d02d417e-5a68-4f6e-88ca-e136d3124459
244,Elmondo 935 Jas Hujan Jaket Celana - Jas Ujan Setelan Dewasa Karet Pria - Wanita,Barang datang sesuai pesanan jumlah dan warnanya...bahannya lemes enak dipegang beda sm jas hujan yg sy temui sebelum2nya kaku gitu...semoga awet dipake nya,4,https://shopee.co.id/Elmondo-935-Jas-Hujan-Jaket-Celana-Jas-Ujan-Setelan-Dewasa-Karet-Pria-Wanita-i.329856005.5071744401?sp_atk=f7c633f0-5f40-4471-bc81-baef66cab6f5&xptdk=f7c633f0-5f40-4471-bc81-baef66cab6f5
245,Elmondo 935 Jas Hujan Jaket Celana - Jas Ujan Setelan Dewasa Karet Pria - Wanita,"Produknya tipis, sesuai harga, tas nya ada yg bolong dikit tapi gpp pake nya harus hati hati soalnya tipis",4,https://shopee.co.id/Elmondo-935-Jas-Hujan-Jaket-Celana-Jas-Ujan-Setelan-Dewasa-Karet-Pria-Wanita-i.329856005.5071744401?sp_atk=f7c633f0-5f40-4471-bc81-baef66cab6f5&xptdk=f7c633f0-5f40-4471-bc81-baef66cab6f6
246,Elmondo 935 Jas Hujan Jaket Celana - Jas Ujan Setelan Dewasa Karet Pria - Wanita,Tipis banget ya allah berfirman yang diperkirakan akan mencapai tujuan yang ingin saya sampaikan kepada kita semua untuk hari esok,2,https://shopee.co.id/Elmondo-935-Jas-Hujan-Jaket-Celana-Jas-Ujan-Setelan-Dewasa-Karet-Pria-Wanita-i.329856005.5071744401?sp_atk=f7c633f0-5f40-4471-bc81-baef66cab6f5&xptdk=f7c633f0-5f40-4471-bc81-baef66cab6f30
247,Elmondo 935 Jas Hujan Jaket Celana - Jas Ujan Setelan Dewasa Karet Pria - Wanita,Alhamdulillah barang sampai dengan selamat semoga barokah bermanfaat dan awet,2,https://shopee.co.id/Elmondo-935-Jas-Hujan-Jaket-Celana-Jas-Ujan-Setelan-Dewasa-Karet-Pria-Wanita-i.329856005.5071744401?sp_atk=f7c633f0-5f40-4471-bc81-baef66cab6f5&xptdk=f7c633f0-5f40-4471-bc81-baef66cab6f31
248,Elmondo 935 Jas Hujan Jaket Celana - Jas Ujan Setelan Dewasa Karet Pria - Wanita,Tipis banget mau nyobain ngeri keburu sobek sebelum dipake buat ujan.. 😅 Ada bagian yg g ke jahit pas resreting...,2,https://shopee.co.id/Elmondo-935-Jas-Hujan-Jaket-Celana-Jas-Ujan-Setelan-Dewasa-Karet-Pria-Wanita-i.329856005.5071744401?sp_atk=f7c633f0-5f40-4471-bc81-baef66cab6f5&xptdk=f7c633f0-5f40-4471-bc81-baef66cab6f32
249,Elmondo 935 Jas Hujan Jaket Celana - Jas Ujan Setelan Dewasa Karet Pria - Wanita,"TELITI SEBELUM MENGGIRIM DI CEK KEMBALI, KALO SOBEK BEGINI GIMANA MAU PAKAI NYA NAMANYA JAS HUJAN TEMBUS DAN REMBES KEDALAM",2,https://shopee.co.id/Elmondo-935-Jas-Hujan-Jaket-Celana-Jas-Ujan-Setelan-Dewasa-Karet-Pria-Wanita-i.329856005.5071744401?sp_atk=f7c633f0-5f40-4471-bc81-baef66cab6f5&xptdk=f7c633f0-5f40-4471-bc81-baef66cab6f33
250,Elmondo 935 Jas Hujan Jaket Celana - Jas Ujan Setelan Dewasa Karet Pria - Wanita,"Nyesal banget, barangnya tipis banget. Gk sesuai sama gambar yg di pajang",2,https://shopee.co.id/Elmondo-935-Jas-Hujan-Jaket-Celana-Jas-Ujan-Setelan-Dewasa-Karet-Pria-Wanita-i.329856005.5071744401?sp_atk=f7c633f0-5f40-4471-bc81-baef66cab6f5&xptdk=f7c633f0-5f40-4471-bc81-baef66cab6f34
251,Elmondo 935 Jas Hujan Jaket Celana - Jas Ujan Setelan Dewasa Karet Pria - Wanita,nyesel beli kirain kayak yg aq beli merek sama pantes murah g taunya plastik belum dipakek udah bolong.barang bolong kok dijual.cocok masuk tong sampah buang2 uang aja g bisa dipakek.,2,https://shopee.co.id/Elmondo-935-Jas-Hujan-Jaket-Celana-Jas-Ujan-Setelan-Dewasa-Karet-Pria-Wanita-i.329856005.5071744401?sp_atk=f7c633f0-5f40-4471-bc81-baef66cab6f5&xptdk=f7c633f0-5f40-4471-bc81-baef66cab6f35
252,Elmondo 935 Jas Hujan Jaket Celana - Jas Ujan Setelan Dewasa Karet Pria - Wanita,Warna sesuai pesanan... Produk bahan tipis... Harga segitu sesuai dgn barangnya... Mksh boss..,2,https://shopee.co.id/Elmondo-935-Jas-Hujan-Jaket-Celana-Jas-Ujan-Setelan-Dewasa-Karet-Pria-Wanita-i.329856005.5071744401?sp_atk=f7c633f0-5f40-4471-bc81-baef66cab6f5&xptdk=f7c633f0-5f40-4471-bc81-baef66cab6f36
253,Elmondo 935 Jas Hujan Jaket Celana - Jas Ujan Setelan Dewasa Karet Pria - Wanita,Mintanya warna putih dikirim nya warna pink,2,https://shopee.co.id/Elmondo-935-Jas-Hujan-Jaket-Celana-Jas-Ujan-Setelan-Dewasa-Karet-Pria-Wanita-i.329856005.5071744401?sp_atk=f7c633f0-5f40-4471-bc81-baef66cab6f5&xptdk=f7c633f0-5f40-4471-bc81-baef66cab6f37
254,Elmondo 935 Jas Hujan Jaket Celana - Jas Ujan Setelan Dewasa Karet Pria - Wanita,Terimakasih barngnya sudah sampai walaupun barang tipis,2,https://shopee.co.id/Elmondo-935-Jas-Hujan-Jaket-Celana-Jas-Ujan-Setelan-Dewasa-Karet-Pria-Wanita-i.329856005.5071744401?sp_atk=f7c633f0-5f40-4471-bc81-baef66cab6f5&xptdk=f7c633f0-5f40-4471-bc81-baef66cab6f38
255,Elmondo 935 Jas Hujan Jaket Celana - Jas Ujan Setelan Dewasa Karet Pria - Wanita,"Alhamdulillah barang sudah mendarat dengan baik.. cuman sayang kalau d pake ujan"" pakean ttp basah..",2,https://shopee.co.id/Elmondo-935-Jas-Hujan-Jaket-Celana-Jas-Ujan-Setelan-Dewasa-Karet-Pria-Wanita-i.329856005.5071744401?sp_atk=f7c633f0-5f40-4471-bc81-baef66cab6f5&xptdk=f7c633f0-5f40-4471-bc81-baef66cab6f39
256,Elmondo 935 Jas Hujan Jaket Celana - Jas Ujan Setelan Dewasa Karet Pria - Wanita,"Jas hujan nya tipis banget ga sesuai ekspektasi, Udah nunggu lama banget , shopee express nama nya doang yg express, lain kali jangan pakai ekspedisi ini deh ..",2,https://shopee.co.id/Elmondo-935-Jas-Hujan-Jaket-Celana-Jas-Ujan-Setelan-Dewasa-Karet-Pria-Wanita-i.329856005.5071744401?sp_atk=f7c633f0-5f40-4471-bc81-baef66cab6f5&xptdk=f7c633f0-5f40-4471-bc81-baef66cab6f40
257,Elmondo 935 Jas Hujan Jaket Celana - Jas Ujan Setelan Dewasa Karet Pria - Wanita,Bahan tipis..moga moga gak cepat sobek klw kena angin sesuai lah dgn harga,2,https://shopee.co.id/Elmondo-935-Jas-Hujan-Jaket-Celana-Jas-Ujan-Setelan-Dewasa-Karet-Pria-Wanita-i.329856005.5071744401?sp_atk=f7c633f0-5f40-4471-bc81-baef66cab6f5&xptdk=f7c633f0-5f40-4471-bc81-baef66cab6f41
258,Elmondo 935 Jas Hujan Jaket Celana - Jas Ujan Setelan Dewasa Karet Pria - Wanita,"Barang rijek,sobek di bagian bawah ,bagian karet pergelangan tangan pake karet nasi uduk wkwk keliatan banget karna beli yg warna transparan",2,https://shopee.co.id/Elmondo-935-Jas-Hujan-Jaket-Celana-Jas-Ujan-Setelan-Dewasa-Karet-Pria-Wanita-i.329856005.5071744401?sp_atk=f7c633f0-5f40-4471-bc81-baef66cab6f5&xptdk=f7c633f0-5f40-4471-bc81-baef66cab6f42
259,Elmondo 935 Jas Hujan Jaket Celana - Jas Ujan Setelan Dewasa Karet Pria - Wanita,"Ga sesuai pesanan minta nya campur malah di kasih warna sama, ga rekomendasi untuk belanja di toko ini",1,https://shopee.co.id/Elmondo-935-Jas-Hujan-Jaket-Celana-Jas-Ujan-Setelan-Dewasa-Karet-Pria-Wanita-i.329856005.5071744401?sp_atk=f7c633f0-5f40-4471-bc81-baef66cab6f5&xptdk=f7c633f0-5f40-4471-bc81-baef66cab6f43
260,Elmondo 935 Jas Hujan Jaket Celana - Jas Ujan Setelan Dewasa Karet Pria - Wanita,"Resleting gk bisa di naik kan,ada bercak hitam2 ,banyak yg sobek kecil2 di dekat kantong,dan di mana2,kusut udah di kuwel2 tuh,beli di toko sebelah gk kusut gtu",1,https://shopee.co.id/Elmondo-935-Jas-Hujan-Jaket-Celana-Jas-Ujan-Setelan-Dewasa-Karet-Pria-Wanita-i.329856005.5071744401?sp_atk=f7c633f0-5f40-4471-bc81-baef66cab6f5&xptdk=f7c633f0-5f40-4471-bc81-baef66cab6f44
261,Elmondo 935 Jas Hujan Jaket Celana - Jas Ujan Setelan Dewasa Karet Pria - Wanita,Ada cacat bagian lengan ada yg kebuka ga nempel,1,https://shopee.co.id/Elmondo-935-Jas-Hujan-Jaket-Celana-Jas-Ujan-Setelan-Dewasa-Karet-Pria-Wanita-i.329856005.5071744401?sp_atk=f7c633f0-5f40-4471-bc81-baef66cab6f5&xptdk=f7c633f0-5f40-4471-bc81-baef66cab6f45
262,Elmondo 935 Jas Hujan Jaket Celana - Jas Ujan Setelan Dewasa Karet Pria - Wanita,jas hujannya bolong,1,https://shopee.co.id/Elmondo-935-Jas-Hujan-Jaket-Celana-Jas-Ujan-Setelan-Dewasa-Karet-Pria-Wanita-i.329856005.5071744401?sp_atk=f7c633f0-5f40-4471-bc81-baef66cab6f5&xptdk=f7c633f0-5f40-4471-bc81-baef66cab6f46
263,Elmondo 935 Jas Hujan Jaket Celana - Jas Ujan Setelan Dewasa Karet Pria - Wanita,Kualitas bagus cuma sayang ada yg sobek di bagian lengan dan syaang juga gak ada video unboxingnya,1,https://shopee.co.id/Elmondo-935-Jas-Hujan-Jaket-Celana-Jas-Ujan-Setelan-Dewasa-Karet-Pria-Wanita-i.329856005.5071744401?sp_atk=f7c633f0-5f40-4471-bc81-baef66cab6f5&xptdk=f7c633f0-5f40-4471-bc81-baef66cab6f47
264,Elmondo 935 Jas Hujan Jaket Celana - Jas Ujan Setelan Dewasa Karet Pria - Wanita,ukurannya bohong. lebar dr ketiak ke ketiak bukn 61cm tp 57 cm. jas hujan ini berukuran kecil,1,https://shopee.co.id/Elmondo-935-Jas-Hujan-Jaket-Celana-Jas-Ujan-Setelan-Dewasa-Karet-Pria-Wanita-i.329856005.5071744401?sp_atk=f7c633f0-5f40-4471-bc81-baef66cab6f5&xptdk=f7c633f0-5f40-4471-bc81-baef66cab6f48
265,Elmondo 935 Jas Hujan Jaket Celana - Jas Ujan Setelan Dewasa Karet Pria - Wanita,Barang sangat buruk banyak yg bolong seller juga sok ngartiss kecewa berat nyesell beli disini udh dicancel malah dikirim gatau diri emg ini toko,1,https://shopee.co.id/Elmondo-935-Jas-Hujan-Jaket-Celana-Jas-Ujan-Setelan-Dewasa-Karet-Pria-Wanita-i.329856005.5071744401?sp_atk=f7c633f0-5f40-4471-bc81-baef66cab6f5&xptdk=f7c633f0-5f40-4471-bc81-baef66cab6f49
